Entity,Code,Trust (Falk et al. (2018) GPS)
Afghanistan,AFG,0.3159644
Algeria,DZA,-0.17737062
Argentina,ARG,-0.20673333
Australia,AUS,0.29897258
Austria,AUT,0.15462811
Bangladesh,BGD,-0.17336532
Bolivia,BOL,-0.16032963
Bosnia and Herzegovina,BIH,-0.19310626
Botswana,BWA,-0.33846158
Brazil,BRA,-0.002689139
Cambodia,KHM,-0.079135038
Cameroon,CMR,-0.53091615
Canada,CAN,0.24527504
Chile,CHL,-0.083214097
China,CHN,0.55280578
Colombia,COL,0.005546534
Costa Rica,CRI,-0.14910293
Croatia,HRV,0.10511626
Czechia,CZE,-0.45068413
Egypt,EGY,0.60902089
Estonia,EST,0.086126119
Finland,FIN,0.099907011
France,FRA,-0.16548221
Georgia,GEO,-0.20484574
Germany,DEU,-0.11882253
Ghana,GHA,-0.19801778
Greece,GRC,-0.35150549
Guatemala,GTM,-0.36296293
Haiti,HTI,-0.15751432
Hungary,HUN,0.53216553
India,IND,-0.20398138
Indonesia,IDN,0.26359722
Iran,IRN,0.30046999
Iraq,IRQ,0.28961954
Israel,ISR,-0.053660519
Italy,ITA,-0.074733861
Japan,JPN,-0.51872993
Jordan,JOR,0.38980365
Kazakhstan,KAZ,0.15293807
Kenya,KEN,-0.42230323
Lithuania,LTU,-0.17750166
Malawi,MWI,-0.47343591
Mexico,MEX,-0.35707209
Moldova,MDA,0.001175667
Morocco,MAR,-0.090314753
Netherlands,NLD,0.29805693
Nicaragua,NIC,0.022988806
Nigeria,NGA,-0.057804402
Pakistan,PAK,-0.10337088
Peru,PER,-0.096918501
Philippines,PHL,0.35706308
Poland,POL,-0.14705054
Portugal,PRT,0.082586966
Romania,ROU,-0.21704744
Russia,RUS,-0.15077487
Rwanda,RWA,-0.12548469
Saudi Arabia,SAU,0.30015314
Serbia,SRB,-0.16020425
South Africa,ZAF,-0.16691782
South Korea,KOR,-0.099214643
Spain,ESP,0.2410433
Sri Lanka,LKA,-0.27219585
Suriname,SUR,0.11636458
Sweden,SWE,0.30693087
Switzerland,CHE,0.088283934
Tanzania,TZA,-0.14714427
Thailand,THA,0.34843981
Turkey,TUR,0.12911025
Uganda,UGA,-0.70643896
Ukraine,UKR,-0.092386983
United Arab Emirates,ARE,0.50710827
United Kingdom,GBR,0.23470205
United States,USA,0.15036696
Venezuela,VEN,0.1149914
Vietnam,VNM,0.14363137
Zimbabwe,ZWE,-0.5091331
